step,name,x,y,z
3450,Gezegen1,-9.59722,-2.96729,0
3450,Gezegen2,-18.4836,6.76912,0
3500,Merkez,-0.0101263,0.106286,0
3500,Gezegen1,-9.43817,-3.4348,0
3500,Gezegen2,-18.5941,6.43175,0
3550,Merkez,-0.0115364,0.108942,0
3550,Gezegen1,-9.2561,-3.89359,0
3550,Gezegen2,-18.6985,6.09229,0
3600,Merkez,-0.013,0.111598,0
3600,Gezegen1,-9.05147,-4.34254,0
3600,Gezegen2,-18.7967,5.75083,0
3650,Merkez,-0.0145168,0.114253,0
3650,Gezegen1,-8.8248,-4.78057,0
3650,Gezegen2,-18.8887,5.4075,0
3700,Merkez,-0.0160865,0.116905,0
3700,Gezegen1,-8.57667,-5.2066,0
3700,Gezegen2,-18.9744,5.0624,0
3750,Merkez,-0.0177086,0.119551,0
3750,Gezegen1,-8.30769,-5.6196,0
3750,Gezegen2,-19.0537,4.71565,0
3800,Merkez,-0.0193825,0.122192,0
3800,Gezegen1,-8.01854,-6.01857,0
3800,Gezegen2,-19.1268,4.36736,0
3850,Merkez,-0.0211078,0.124824,0
3850,Gezegen1,-7.70993,-6.40254,0
3850,Gezegen2,-19.1934,4.01764,0
3900,Merkez,-0.0228839,0.127447,0
3900,Gezegen1,-7.38263,-6.77057,0
3900,Gezegen2,-19.2537,3.66663,0
3950,Merkez,-0.02471,0.13006,0
3950,Gezegen1,-7.03744,-7.12177,0
3950,Gezegen2,-19.3075,3.31442,0
4000,Merkez,-0.0265855,0.13266,0
4000,Gezegen1,-6.67522,-7.45528,0
4000,Gezegen2,-19.3549,2.96114,0
4050,Merkez,-0.0285096,0.135246,0
4050,Gezegen1,-6.29684,-7.77029,0
4050,Gezegen2,-19.3957,2.6069,0
4100,Merkez,-0.0304814,0.137817,0
4100,Gezegen1,-5.90325,-8.06603,0
4100,Gezegen2,-19.4301,2.25183,0
4150,Merkez,-0.0325002,0.140372,0
4150,Gezegen1,-5.49539,-8.34178,0
4150,Gezegen2,-19.4579,1.89604,0
4200,Merkez,-0.034565,0.142909,0
4200,Gezegen1,-5.07428,-8.59686,0
4200,Gezegen2,-19.4791,1.53966,0
4250,Merkez,-0.0366749,0.145427,0
4250,Gezegen1,-4.64093,-8.83065,0
4250,Gezegen2,-19.4938,1.1828,0
4300,Merkez,-0.0388288,0.147925,0
4300,Gezegen1,-4.1964,-9.04255,0
4300,Gezegen2,-19.502,0.825581,0
